,title,item_id,recommend_int
0,Carmageddon Max Pack,282010,1
3,Half-Life,70,1
35,Half-Life,70,0
59,The Ship: Murder Party,2400,1
68,The Ship: Murder Party,2400,0
125,Advent Rising,3800,1
126,DEFCON,1520,1
129,DEFCON,1520,0
140,The Ship: Single Player,2420,1
146,Garry's Mod,4000,1
187,Garry's Mod,4000,0
3394,FlatOut 2™,2990,1
3400,FlatOut,6220,1
3403,The Longest Journey,6310,1
3409,Tomb Raider: Anniversary,8000,1
3411,Devil May Cry® 3 Special Edition,6550,1
3416,Devil May Cry® 3 Special Edition,6550,0
3417,Vigil: Blood Bitterness™,2570,0
3419,Ultimate Doom,2280,1
3426,Master Levels for Doom II,9160,1
3427,DOOM II,2300,1
3430,Wolfenstein 3D,2270,1
3436,QUAKE,2310,1
3439,BioShock™,7670,1
3463,BioShock™,7670,0
3577,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",4570,1
3591,"Warhammer® 40,000: Dawn of War® - Dark Crusade",4580,1
3602,Rome: Total War™ - Collection,4760,1
3618,Manhunt,12130,1
3619,Midnight Club 2,12160,1
3620,Max Payne 2: The Fall of Max Payne,12150,0
3621,Tomb Raider: Legend,7000,1
3625,Max Payne,12140,1
3629,Command &amp; Conquer: Red Alert 3,17480,1
3637,Command &amp; Conquer: Red Alert 3,17480,0
3641,PuzzleQuest: Challenge of the Warlords,12500,1
3643,Tycoon City: New York,9730,0
3644,RollerCoaster Tycoon® 3: Platinum,2700,1
3654,Unreal Gold,13250,1
3655,Tom Clancy's Splinter Cell®,13560,0
3657,Far Cry®,13520,1
3659,Far Cry®,13520,0
3661,Tom Clancy's Rainbow Six® Vegas,13540,0
3662,Silent Hunter®: Wolves of the Pacific,15200,1
3663,IL-2 Sturmovik: 1946,15320,1
3665,IL-2 Sturmovik: 1946,15320,0
3670,Bone: Out From Boneville,8310,1
3671,Sprint Cars Road to Knoxville,12590,1
3672,Eternity's Child,19500,0
3674,Pacific Storm Allies,11260,0
3676,FlatOut: Ultimate Carnage,12360,1
3679,Oddworld: Abe's Exoddus®,15710,1
3684,Oddworld: Abe's Oddysee®,15700,1
3700,X-COM: Enforcer,7770,1
3701,X-COM: Apocalypse,7660,1
3703,X-COM: UFO Defense,7760,1
3704,S.T.A.L.K.E.R.: Clear Sky,20510,1
3707,S.T.A.L.K.E.R.: Clear Sky,20510,0
3720,Crysis Warhead®,17330,1
3722,Crysis,17300,1
3727,Crysis,17300,0
3731,X-COM: Interceptor,7730,1
3732,The Witcher: Enhanced Edition Director's Cut,20900,1
3752,The Witcher: Enhanced Edition Director's Cut,20900,0
3778,Sid Meier's Civilization IV: Colonization,16810,1
3779,Tom Clancy's Rainbow Six® 3 Gold,19830,1
3780,LEGO Batman,21000,1
3782,LEGO Batman,21000,0
3786,Brothers in Arms: Hell's Highway™,15390,1
3789,Xpand Rally Xtreme,3050,1
3790,World of Goo,22000,1
3796,World of Goo,22000,0
3797,X3: Terran Conflict,2820,1
3800,Bully: Scholarship Edition,12200,1
3850,Far Cry® 2: Fortune's Edition,19900,1
3851,Far Cry® 2: Fortune's Edition,19900,0
3865,Space Trader: Merchant Marine,11240,0
3871,Saints Row 2,9480,1
3873,Saints Row 2,9480,0
3905,Dead Space,17470,1
3921,Mirror's Edge™,17410,1
